N° UNICO CONSECUTIVO DE IDENTIFICACION,ESTADO DEL ESTABLECIMIENTO,DEPARTAMENTO,MUNICIPIO,RAZON SOCIAL,NIT,REPRESENTANTE LEGAL,DIRECCION O UBICACION DEL ESTABLECIMIENTO,CONCEPTO SANITARIO VIGENTE,"LINEA SUBCATEGGORIA DE ALIMENTOS
(Productos elaborados o Procesados)"
27610,1 ACTIVO,BOGOTA,BOGOTA,COMPAÑIA MANUFACTURERA DE PAN COMAPAN SA - MOLINO DE TRIGO,8600002583,MARIA FANNY RAMIREZ HERNANDEZ,CL 15 No 34-26,FAVORABLE,HARINA DE TRIGO FORTIFICADA
27612,1 ACTIVO,CUNDINAMARCA,COTA,INVERSIONES COLOMBIANAS DE ALIMENTOS SAS,9005065560,NELLY MENDEZ BOCANEGRA,CR 5 No 16-90 VDA CENTRO,FAVORABLE,PANES LEUDADOS;TORTAS Y GALLETAS;EMPANADAS;MASA Y RELLENO PARA EMPANADAS
27614,1 ACTIVO,BOGOTA,BOGOTA,CERVECERIA LA VILLA SAS,9013832251,GABRIEL LEONARDO PINEDA ZORRO,CL 81 No 92-78,FAVORABLE CON OBSERVACIONES,CERVEZA ARTESANAL
27615,1 ACTIVO,BOGOTA,BOGOTA,ALINA ESPERANZA NARVAEZ YELA PROPIETARIA DEL ESTABLECIMIENTO DE COMERCIO DELI GALLETAS,10123669640,ALINA ESPERANZA NARVAEZ YELA,CL 40 No 8F-09 BR LEON XIII SEGUNDO SC,FAVORABLE,PRODUCTOS DE PANADERIA DULCE TORTAS GALLETAS DULCES PASTELES BIZCOCHOS DONUTS PANECILLOS DULCES
27617,1 ACTIVO,BOGOTA,BOGOTA,FABRICA DULCERA DE COLOMBIA DULFACOL SAS,9000976041,MARIA DIRLENY ALVAREZ,CL 57 SUR No 19A-75,FAVORABLE,ALMENDRAS;NUECES;MANI RECUBIERTOS;DULCES DUROS;DULCES BLANDOS
27618,1 ACTIVO,CUNDINAMARCA,TOCANCIPA,ONA ZONA FRANCA SAS,9014799141,EDGAR ANDRES RODRIGUEZ MORENO,KM 1.5 VI BRICEÑO ZIPAQUIRA ZN FRANCA DE TOCANCIPA BG 48,FAVORABLE,JAMON SERRANO;SALAMI;CHORIZO
27620,1 ACTIVO,BOYACA,TOTA,ASOCIACION DE PEQUEÑOS PRODUCTORES DE LECHE DEL MUNICIPIO DE TOTA/ASOLECHEROS TOTA,9014591158,SEGUNDO MARCO TULIO CHAPARRO CARDOZO,CR 3 SC LA PLAZA,FAVORABLE CON OBSERVACIONES,ACOPIO DE LECHE CRUDA
27621,1 ACTIVO,BOGOTA,BOGOTA,FOODOLOGY SAS,9012991680,DANIELA IZQUIERDO CASTRO,CL 73A No 69-33,FAVORABLE,ARROZ;MASA PARA PIZZA;MUFFINS;GALLETAS DULCES;BROWNIES;CARNE DE RES Y POLLO;SALSAS EMULSIONADAS
27622,1 ACTIVO,BOYACA,FIRAVITOBA,COMPRA Y VENTA DE LECHE DON RAFA-RAFAEL PATARROYO PATIÑO,41190799,RAFAEL PATARROYO PATIÑO,VDA TINTAL FI MORTIÑO KM 1 VI FIRAVITOBA SOGAMOSO,FAVORABLE CON OBSERVACIONES,CENTRO DE ACOPIO DE LECHE
27623,1 ACTIVO,ANTIOQUIA,GUARNE,DELICANTES MORATTO SAS,9014136041,MARIA VICTORIA MEJIA FRANCO,VDA CHAPARRAL;SC LOS VALLEJO; FI No 15,FAVORABLE CON OBSERVACIONES,OTRAS BEBIDAS ALCOHOLICAS
27624,1 ACTIVO,ANTIOQUIA,MEDELLIN,ALZATE CASTAÑO HUGO PROPIETARIO DEL ESTABLECIMIENTO DE COMERCIO ARTESANA FOODS,717300698,HUGO ALZATE CASTAÑO,CL 66 No 45 - 131,FAVORABLE,VINAGRE Y SALSAS
27625,1 ACTIVO,CUNDINAMARCA,TENA,COMERCIALIZADORA Y DISTRIBUIDORA LAGUNETA SAS,9010923433,JORGE HUMBERTO BARRIOS GARZON,VDA LAGUNETA KM 30 FI EL CHANCHITO,FAVORABLE,AGUA POTABLE TRATADA;AGUA DE MANANATIAL;AGUA MINERAL AGUA GASIFICADA
27627,1 ACTIVO,BOYACA,CIENEGA,GALINDO PULIDO GERMAN ALVEIRO PROPIETARIO DEL ESTABLECIMIENTO DE COMERCIO NOVAMARQUEZ,10506933381,GERMAN ALVEIRO GALINDO PULIDO,VDA CEBADAL FI LAS ACACIAS,FAVORABLE,QUESOS FRESCOS DOBLE CREMA;PERA;MOZARELLA
27629,1 ACTIVO,BOYACA,TUNJA,ANDES AZUL SAS,9013887531,HENRY WILSON CARVAJAL GUTIERREZ,KM 3 VI TUNJA-BOGOTA,FAVORABLE CON OBSERVACIONES,VINO DE FRUTAS
27631,1 ACTIVO,BOGOTA,BOGOTA,GRUPO INDUSTRIAL AVILA SAS,9013226167,MYRIAM LUCY AVILA ROA,CL 11A No 38-13,FAVORABLE,DERIVADOS CARNICOS
27641,1 ACTIVO,NARIÑO,PASTO,ARTEAGA ORTEGA EDGAR MAURICIO PROPIETARIO DEL ESTABLECIMIENTO DE COMERCIO COMESTIBLES LEIDY,983885382,EDGAR MAURICIO ARTEAGA ORTEGA,CR 23A No 3 SUR-13 BR MIJITAYO,FAVORABLE,"PAPAS FRITAS, PLATANITOS FRITOS, CORTEZA DE CERDO"
27645,1 ACTIVO,NARIÑO,PASTO,LOPEZ ANGELA PROPIETARIA DEL ESTABLECIMIENTO DE COMERCIO PANIFICADORA ESTRELLA,10842226410,ANGELA LOPEZ,CS 4 VDA SAN FRANCISCO CORREGIMIENTO DE JONGOVITO,FAVORABLE,PAN LEUDADOS CON LEVADURA
27665,1 ACTIVO,NARIÑO,PUPIALES,PANTOJA BENAVIDES PEDRO TARSICIO PROPIETARIO DEL ESTABLECIMIENTO DE COMERCIO AGROLACTEOS EL ESTABLO,130111501,PEDRO TARSICIO PANTOJA BENAVIDES,CL 4 No 2-33 BR CENTRO,FAVORABLE,QUESOS FRESCOS (NO MADURADOS)
27666,1 ACTIVO,NARIÑO,MALLAMA,CHAPIL GRAN CACIQUE MALLAMA SAS,9014871838,GERMAN CARLOSAMA,BR BELLAVISTA PIEDRANCHA,FAVORABLE CON OBSERVACIONES,BEBIDA ALCOHOLICA DE CAÑA DE AZUCAR (CHAPIL)
27667,1 ACTIVO,VALLE_DEL_CAUCA,CALI,LUIS STEVEN ROSERO ALVAREZ ESTABLECIMIENTO DE COMERCIO PASABOCAS MASPICADOTAS,11071034993,LUIS STEVEN ROSERO ALVAREZ,CR 29 No 30A-85 BR LA FORTALEZA,FAVORABLE,PAPAS FRITAS
27668,1 ACTIVO,VALLE_DEL_CAUCA,ANDALUCIA,YURANY NIÑO PULIDO ESTABLECIMIENTO DE COMERCIO FABRICA DE GELATINA EL BUEN SABOR,11120981630,YURANY NIÑO PULIDO,CR 8 No 12-24 BR LA ESTACION,FAVORABLE,GELATINA DE MANO RES
27671,1 ACTIVO,VALLE_DEL_CAUCA,CALI,SANCHEZ PEREZ MARTHA CECILIA ESTABLECIMIENTO DE COMERCIO PROCESADORA Y COMERCIALIZADORA DE ALIMENTOS DALUNA,302992816,MARTHA CECILIA SANCHEZ PEREZ,CR 11 No 27-42 BR INDUSTRIAL LOS MANGOS,FAVORABLE,ALIMENTO LIQUIDO ENRIQUECIDO CON VITAMINAS Y MINERALES
27672,1 ACTIVO,VALLE_DEL_CAUCA,TULUA,ALBEIRO JAVIER CABRERA JIMENEZ ESTABLECIMIENTO DE COMERCIO DISTRILACTEOS DEL VALLE CP,875721585,ALBEIRO JAVIER CABRERA JIMENEZ,CL 50 No 41-179 BG A10 PQ INDUSTRIAL JAKOB OLIVIER,FAVORABLE,QUESO FRESCO
27673,1 ACTIVO,VALLE_DEL_CAUCA,CALI,BEDOYA ALZATE MARIA EMPERATRIZ ESTABLECIMIENTO DE COMERCIO BROADSTEM,319646671,MARIA EMPERATRIZ BEDOYA ALZATE,CL 23  No 2 N – 44 BR PILOTO,FAVORABLE,SALSAS DE SOYA FERMENTADAS
27674,1 ACTIVO,VALLE_DEL_CAUCA,SAN PEDRO,SI PACK TECNOALIMENTOS SAS,9004779550,HAROLD MARTINEZ,CL 3 No 3B-85 COR LOS CHANCOS,FAVORABLE,LECHE CONDENSADA
27675,1 ACTIVO,VALLE_DEL_CAUCA,CALI,DEL HUERTO Y MAS SAS,9010666081,ILIA MARCELA TORRES MAYA,CR 6 No 32-26 BG 2 BR EL PORVENIR,FAVORABLE,HORTALIZAS CORTADAS (MATERIA PRIMA PARA INDUSTRIA GASTRONOMICA)
27678,1 ACTIVO,ANTIOQUIA,ANDES,MORENO MORALES DIEGO ANTONIO PROPIETARIO DEL ESTABLECIMIENTO DE COMERCIO PANADERIA CROISSPAN.S,11284775161,DIEGO ANTONIO MORENO MORALES,CR 52 B No 56 A - 18,FAVORABLE,PANES LEUDADOS CON LEVADURA O CON BICARBONATO
27679,1 ACTIVO,ANTIOQUIA,MEDELLIN,MEJIPLAST SAS,9005805762,EDUARDO MEJIA OSORIO,CL 29B No 56 - 47,FAVORABLE CON OBSERVACIONES,EMPAQUES PARA ALIMENTOS
27680,1 ACTIVO,ANTIOQUIA,MEDELLIN,INVERSIONES EL FORTACHON SAS,9013496662,DIDIER DE JESUS FIGUEROA ZAPATA,CR 71 No 30 - 37 INT 101,FAVORABLE,"CEREALES PARA EL DESAYUNO, SE INCLUYE EL ARROS TOSTADO O SOPLADO Y LOS COPOS DE AVENA"
27681,1 ACTIVO,ANTIOQUIA,ENVIGADO,INVERSIONES MITO SAS,9013157514,JORGE MARIO SIERRA ROLDAN,CL 40 SUR No 27 - 57,FAVORABLE,FILETES DE CARNEDE RESY CERDO CONDIMENTOS (ALIÑOS)HOGAO CEBOLLA CARAMELIZADA ADEREZOS VARIEDADES OTROS TIPOS DE SALSAS NO EMULSIONADAS GUACAMOLE SALSA DE CHIMICHURRI SALSA DE AJI SALSA DE AJO OTROS ALIMENTOS COMPUESTOS ARROZ CON COCO PURE DE PAPA PLATOS PARA CONSUMO CONGELADO O NO FALAFEL CARNE COCIDA Y MOLIDA.
27682,1 ACTIVO,ANTIOQUIA,LA ESTRELLA,RM CHEMICALS S&L SAS,9010002377,JORGE LUIS OCHOA PEREZ,"CRA 49A No 98A SUR 228 BG 5, SAN BARTOLOME ET 7, SC LA TABLAZA",FAVORABLE CON OBSERVACIONES,ADITIVOS DIFERENTES A LOS SABORIZANTES
27686,1 ACTIVO,ANTIOQUIA,COPACABANA,PULPY-FRUTTY SAS,9013329386,CARLOS MARIO MIRA BOTERO,AU NORTE KM 14 VDA EL NORAL,FAVORABLE,PULPAS DE FRUTAS VARIEDADS
27687,1 ACTIVO,ANTIOQUIA,LA ESTRELLA,MAGU INUSTRIAS PLASTICAS SAS,9010896999,ALZATE ZULUAGA LEON DARIO,CL 100 SUR No 49 - 95 BG 9 - 10,FAVORABLE CON OBSERVACIONES,EMPAQUES PARA ALIMENTOS
27688,1 ACTIVO,ANTIOQUIA,MEDELLIN,GRUPO CERVECERO CAOS BREWING SAS,9015807644,DIEGO PINEDA COURTNEY,CR 50 FF No 5S - 05,FAVORABLE CON OBSERVACIONES,CERVEZAS ARTESANALES
27690,1 ACTIVO,ANTIOQUIA,MEDELLIN,PLANTA DE PRODUCCION INVERSIONES BIGOTE SAS,10366782363,MANUELA AGUIRRE RUA,CR 50 G No 1 - 01 AP 1 A 17,FAVORABLE,MASA PARA PREPARAR PIZZA
27691,1 ACTIVO,ANTIOQUIA,CALDAS,J & C PAPAS SAS,9015590087,JULIANA GALLEGO DEOSSA,CL 129 SUR No 56 - 47 LM 1,FAVORABLE,PAPAS PREFRITAS CONGELADAS VARIEDADES
27692,1 ACTIVO,ANTIOQUIA,SABANETA,VEDA DRINKS SAS,9013949374,SEBASTIAN ESCOBAR JARAMILLO,CL 60 SUR No 43A - 28,FAVORABLE,CAFE FRIO VARIEDADES;BEBIDA CON CAFE QUE PUEDE SER CONSIDERADA COMO DE BAJA ACIDEZ
27693,1 ACTIVO,ANTIOQUIA,SABANETA,GRUPO SANTA MARIA & ASOCIADOS SAS,9014553307,KATERINE SANTA MARIA MIRA,CL 77 A SUR No 45 - 20,FAVORABLE,PULPAS DE FRUTA CONGELADAS AZUCARADAS
27694,1 ACTIVO,ANTIOQUIA,GUARNE,PEPSICO ALIMENTOS ANTIOQUIA LTDA,9014805031,CARLOS ENRIQUE PACHECO GARANTON,KM 28 500 AU MEDELLIN BOGOTA VDA LA MOSCA,FAVORABLE,"PRODUCTOS A BASE DE PAPA, HARINAS O FECULAS DE CEREALES, DE RAICES, DE TUBERCULOS, LEGUMBRES O LEGUMINOSAS; PRECOCIDOS, COCIDOS Y/O SABORIZADOS, NO CONSIDERADOS COMO POSTRES; SE INCLUYEN LAS TORTAS DE ARROZ, DE PAPA O DE YUCA, SNACKS, EXTRUIDOS, PAPAS FRITAS, PALOMITAS DE MAIZ"
27695,1 ACTIVO,ANTIOQUIA,SANTA FE DE ANTIOQUIA,GARCIA ESTRADA EMILIO JOSE PROPIETARIO DEL ESTABLECIMIENTO DE COMERCIO CERVECERIA SANTA FE DE ANTIOQUIA,10220968023,EMILIO JOSE GARCIA ESTRADA,VDA EL TUNAL SC GOYÁZ PD REGALO DE DIOS,FAVORABLE CON OBSERVACIONES,CERVEZA ARTESANAL
27697,1 ACTIVO,ANTIOQUIA,JARDIN,RENDON ZAPATA LUZ MARLENNY PROPIETARIA DEL ESTABLECIMIENTO DE COMERCIO AREPAS LAS MAICERITAS,10373227076,RENDON ZAPATA LUZ MARLENNY,CR 2 A No 3 - 16,FAVORABLE,AREPAS DE MAIZ
27699,1 ACTIVO,ANTIOQUIA,MEDELLIN,GARCES Y SIERRA SAS,9002924017,NEVARDO ANDRES CORTES FLORES,CL 92 No 92 - 55 PRIMER PISO,FAVORABLE,"AREPAS DE MAIZ, AREPAS DE CHOCOLO Y RELLENAS DE QUESO"
27703,1 ACTIVO,CAQUETA,SAN VICENTE DEL CAGUAN,AMALTEA SVC,11104898377,ANDERSOR JAVIER ENCISO VENEGAS,VDA PUERTO LOZADA KM 22 VIA SAN VICENTE DEL CAGUAN – PUERTO LOZADA INGRESANDO POR EL KM 78 DE LA VIA SAN VICENTE DEL CAGUAN – BALSILLAS,FAVORABLE,QUESO FRESCO SEMIDURO SEMIGRASO
27704,1 ACTIVO,PUTUMAYO,MOCOA,ESTABLECIMIENTO PROPIEDAD DE NEIDA ADALI PANTOJA LOPEZ - AGUA VIVA MOCOA,690083002,NEIDA ADALI PANTOJA LOPEZ,CL 12 No 9 - 151 BR VILLA COLOMBIA,FAVORABLE,AGUA POTABLE TRATADA
27706,1 ACTIVO,CAQUETA,CARTAGENA DEL CHAIRA,LACTEOS EL CAMPESINO CHAIRENSE ZOMA SAS,9014333477,EDWAR OLAYA RODRIGUEZ,CR 13 A No 11-132 BR ALONSO GAITAN,FAVORABLE,QUESO FRESCOS NO MADURADOS
27707,1 ACTIVO,TOLIMA,GUAMO,ESTABLECIMIENTO PROPIEDAD DE WILLIAM MÉNDEZ BARRERA,141381755,WILLIAM MÉNDEZ BARRERA,CR 1 No 12 - 10 BR PABLO VI,FAVORABLE,HELADOS DE LECHE
27708,1 ACTIVO,TOLIMA,GUAMO,ESTABLECIMIENTO PROPIEDAD DE PEDRO PABLO TOVAR OSPINA - HELADOS Y PALETAS CAPRICHO´S,11927725610,PEDRO PABLO TOVAR OSPINA,CR 1 No 2B - 181 LC 1 BR EL CARMEN,FAVORABLE,HELADOS  DE LECHE
27710,1 ACTIVO,CORDOBA,SAHAGUN,MARLON ANTONIO PASTRANA SILGADO PROPIETARIO DE ESTABLECIMIENTO DE COMERCIO AGUA REY DE VIDA,73698353,MARLON ANTONIO PASTRANA SILGADO,CL 13 N 9 52,FAVORABLE,AGUA POTABLE TRADADA Y ENVASADA
27715,1 ACTIVO,ATLANTICO,BARRANQUILLA,INNOVATIVE KITCHEN SAS,9010692374,VIVIAN JOSEFA MARTINEZ MERCADO,CL 110 No 10 - 427 BD 22,FAVORABLE,"PRODUCTOS A BASE DE ARROZ, PAPA, YUCA, HARINAS O FÉCULAS DE CEREALES, DE RAÍCES, DE TUBÉRCULOS, LEGUMBRES O LEGUMINOSAS; PRE COCIDOS, COCIDOS Y/O SABORIZADOS, NO CONSIDERADOS COMO POSTRES; SE INCLUYEN LAS TORTAS DE ARROZ, DE PAPA O DE YUCA, SNACKS, EXTRUIDOS, PAPAS FRITAS, PALOMITAS DE MAÍZ, ACHIRAS."
27716,1 ACTIVO,MAGDALENA,SANTA MARTA,ARNULFO ALQUICHIRE DURAN PROPIETARIO DEL ESTABLECIMIENTO AGUA SIERRA NEVADA H2O,913908159,ARNULFO ALQUICHIRE DURAN,MANZANA 21 A CASA 5 URBANIZACIÓN BOLIVARIANA,FAVORABLE,AGUA POTABLE TRATADA
27717,1 ACTIVO,MAGDALENA,SANTA MARTA,YOANE ALZATE ARISTIZABAL PROPIETARIO DEL ESTABLECIMIENTO DE COMERCIO BRISAS DEL MANANTIAL,750523698,YOANE ALZATE ARISTIZABAL,SEC1 LC2 BR VILLA MERCEDES,FAVORABLE,AGUAPOTABLETRATADA
27722,1 ACTIVO,TOLIMA,PALOCABILDO,ESTABLECIMIENTO PROPIEDAD DE ADRIANA YINETH URREGO QUIMBAY - RUBEE,527489265,ADRIANA YINETH URREGO,KM 4 VI PALOCABILDO A VDA LA PRIMAVERA FI EL PRADO,FAVORABLE,LICOR DE MIEL;CERVEZA ARTESANAL
27726,1 ACTIVO,NARIÑO,PASTO,GRUPO EMPRESARIAL VM SAS,9014246799,DIEGO FERNANDO RUIZ JURADO,CS 54A - 1 BELLAVISTA CHAVES DIV 1 FRAY CATAMBUCO CENTRO,FAVORABLE,"DERIVADOS CARNICOS FRESCOS (CHORIZOS, SALCHICHAS, HAMBURGUESAS)"
27727,1 ACTIVO,PUTUMAYO,COLON,CLAUDIA LORENA ROSERO BOTINA PROPIETARIA DEL ESTABLECIMIENTO DE COMERCIO AGUA PURA SAN JOSE,11202170531,CLAUDIA LORENA ROSERO BOTINA,CL 4-5 CR 5 BR SAN ANTONIO,FAVORABLE,AGUA POTABLE TRATADA
27728,1 ACTIVO,NARIÑO,SAN ANDRES DE TUMACO,FLOREZ JOAQUI ALEYDA PROPIETARIA DEL ESTABLECIMIENTO DE COMERCIO AGUA PURA TROPI,294004882,ALEYDA FLOREZ JOAQUI,CL DEL COMERCIO DG A MALARIA,FAVORABLE,AGUA POTABLE TRATADA ENVASADA
27732,1 ACTIVO,META,VILLAVICENCIO,INVERSIONES CARDENAS LONDOÑO S.A.S,9013240658,JULIO HERNAN CARDENAS BELTRAN,CR 23 No 29 - 36 BR 20 DE JULIO,FAVORABLE,EMPANADAS RELLENAS DE CARNE Y PANDEBONOS
27734,1 ACTIVO,META,URIBE,SANCHEZ PULIDO JUAN PABLO - LACTEOS JUANDIS 2,10224439496,JUAN PABLO SANCHEZ PULIDO,MZ 15 CS 4 BR INDUSTRIAL,FAVORABLE,QUESOSFRESCOS
27735,1 ACTIVO,GUAVIARE,SAN JOSE DEL GUAVIARE,MAURICIO GALVIS  -  COMERCIALIZADORA WAJARI,159621942,MAURICIO GALVIS,CL 27 No 23 - 50 BR SAN JORGE,FAVORABLE,AGUAPOTABLETRATADA
27744,1 ACTIVO,RISARALDA,DOSQUEBRADAS,PANICONGELADOS PIACERI SAS,9015761729,NELSON NIETO PATIÑO,MZ 11 CS 11C  BR LA GRACIELA,FAVORABLE,PANZEROTTIS; BURRITOS; PASTELES HOJALDRADOS
27745,1 ACTIVO,RISARALDA,PEREIRA,CHARCUTERIA SANTA ISABEL COLOMBIA SAS,9009167527,DIEGO FERNANDO SALAZAR MORALES,CL 12E No 12-46 BR CHICO RESTREPO,FAVORABLE,"DERIVADOS CARNICOS NO MADURADOS (CHORIZOS, SALCHICHAS,JAMON TOCINETA)"
27749,1 ACTIVO,ATLANTICO,BARRANQUILLA,FABRICA DE LICORES Y VINOS DEL ATLANTICO SAS,9013858591,BRANDON  EDGARDO GAMARRA MENESES,CL 131 No 13-9 BR  CUIDADELA DE LA PAZ,FAVORABLE CON OBSERVACIONES,LICORES
27757,1 ACTIVO,ATLANTICO,BARANOA,YEVIS YOJANA DE LA HOZ VIANA PROPIETARIA DEL ESTABLECIMIENTO ENVASADORA DE AGUA POTABLE TRATADA BRISS,10482236478,YEVIS YOJANA DE LA HOZ VIANA,CLLE 22 # 15-49,FAVORABLE,AGUA POTABLE TRATADA ENVASADA
27759,1 ACTIVO,NORTE_DE_SANTANDER,LOS PATIOS,GRUPO EMPRESARIAL EL PRINCIPE SAS,9014468886,VALERIO CASTRO RAVELO,KM 21 LT21 Y 22 VDA COROZAL FUERA DEL MUNICIPIO DE LOS PATIOS,FAVORABLE,BOCADILLO DE GUAYABA
27760,1 ACTIVO,SANTANDER,VELEZ,VELEÑA DE BOCADILLOS WP SAS,9015144441,LEIDY TATIANA SUAREZ ARDILA,KM 12 VI BARBOSA-VELEZ VDA ACO Y PEÑA BLANCA SEC INDUSTRIAL LOS GUAYABOS,FAVORABLE,MANJAR BLANCO;BOCADILLO DE GUAYABA
27761,1 ACTIVO,NORTE_DE_SANTANDER,PAMPLONA,CERVEZA PAMPLONA ARTESANAL SAS,9015582096,SONIA ESPERANZA PEÑALOZA PORTILLA,CR 8 No. 4 – 14 BR SANTO DOMINGO,FAVORABLE CON OBSERVACIONES,CERVEZAS ARTESANALES
27763,1 ACTIVO,SANTANDER,PINCHOTE,COMPAÑIA CERVECERA ARTESANAL DE SANTANDER SAS,9015891599,ANDRES BISMARCK RODRIGUEZ FORERO,CR 6B No 3A,FAVORABLE CON OBSERVACIONES,CERVEZAS ARTESANALES
27764,1 ACTIVO,BOYACA,MONIQUIRA,COMERCIALIZADORA DE PANELA JUAN JOSE SAS,9012688345,FREDY SOSA ROZO,CL 15 No 8-10 BR BARRANCAS,FAVORABLE CON OBSERVACIONES,PANELA
27765,1 ACTIVO,SANTANDER,CHIPATA,REEMPACADORA DE PANELA PROPIEDAD DE PARDO MURCIA OSCAR RAUL,798113833,OSCAR RAUL PARDO MURCIA,CL 2 CON 6 BG (DG A LA ESTACION DE POLICIA),FAVORABLE CON OBSERVACIONES,PANELA
27769,1 ACTIVO,BOGOTA,BOGOTA,FATUDA SAS,9015033564,LUIS MIGUEL TUBERQUIA DAVID,CL 166 BIS # 54C- 63 BR SAN CIPRIANO,FAVORABLE CON OBSERVACIONES,CERVEZA ARTESANAL
27770,1 ACTIVO,CUNDINAMARCA,SOACHA,CERVECERIA GUACHA SAS,9014382188,JUAN NICOLÁS QUINTERO GUALTEROS,CL 15 No 9-21,FAVORABLE CON OBSERVACIONES,CERVEZA ARTESANAL
27772,1 ACTIVO,BOGOTA,BOGOTA,LACTEOS LUZ SVC CANADA ZOMAC SAS,9013693663,MARIA CAMILA QUINTANA MURILLO,CL 101 No 70C-44 BR NUEVO MONTERREY,FAVORABLE,TAJADO FRACCIONAMIENTO Y REEMPAQUE DE QUESO FRESCO Y MANTEQUILLA
27774,1 ACTIVO,CUNDINAMARCA,FUSAGASUGA,SANTIAGO CASTAÑO GUTIERREZ PROPIETARIO DEL ESTABLECIMIENTO DE COMERCIO BEERLEY,10058724454,SANTIAGO CASTAÑO GUITIERREZ,CL 23B No 47-24 BR CADIZ,FAVORABLE CON OBSERVACIONES,CERVEZAS ARTESANALES
27775,1 ACTIVO,BOYACA,DUITAMA,SIDNEY REIMAN QUINTERO MANOSALVA PROPIETARIO DEL ESTABLECIMIENTO DE COMERCIO FERMENTADOS Y DESTILADOS ALDEBARAN,137249428,SIDNEY REIMAN QUINTERO MANOSALVA,VDA QUEBRADA DE BECERRAS FI ALDEBARAN,FAVORABLE CON OBSERVACIONES,CERVEZA ARTESANAL
27777,1 ACTIVO,BOGOTA,BOGOTA,COMERCIALIZADORA Y PASABOCAS FRITOS GHB SAS,9007103511,CESAR ALONSO GUERRERO MARTINEZ,CR 108 No 23B-65 BR FONTIBON,FAVORABLE,PAPAS FRITAS;SNACKS
27781,1 ACTIVO,BOGOTA,BOGOTA,COMERCIALIZADORA J & CIA SAS,9014606089,LAURA CAROLINA OVALLE NAVARRETE,CL 23B No 107-36 BR FONTIBON VERSALLES,FAVORABLE,HAMBURGUESAS CRUDAS;CHORIZOS;TOCINETA PRECOCIDOS
27785,1 ACTIVO,CUNDINAMARCA,COTA,SERVICIOS Y SUMINISTROS DE LOS ANDES SAS,9014825092,SHAROM ANDREA RUIZ ANGULO,AU MEDELLIN KM 1.5 VI BOGOTA SIBERIA LC 1269 BG 2 PQ AGROINDUSTRIAL DE OCCIDENTE,FAVORABLE,PAN VARIEDADES
27786,1 ACTIVO,BOGOTA,BOGOTA,WILLIAN ARLEY MEDINA BELTRAN,791316560,WILLIAN ARLEY  MEDINA BELTRAN,CR 1A No 185A-39 BR EL CODITO HORIZONTE  (BAJO LA IGLESIA),FAVORABLE,PANES LEUDADOS CON LEVADURA O CON BICARBONATO;PRODUCTOS DE PASTELERIA DULCE
27787,1 ACTIVO,CAQUETA,FLORENCIA,ESTABLECIMIENTO PROPIEDAD DE JHOAN SEBASTIAN VERA CARVAJAL - PRODUCTOS LACTEOS DEL CAMPO,10618101551,JHOAN SEBASTIAN VERA CARVAJAL,CL 35 No 12A-27 BR VILLA NATALIA,FAVORABLE,QUESO FRESCO GRASO SEMIDURO DOBLE CREMA
27790,1 ACTIVO,CORDOBA,PLANETA RICA,MOLINO EL PARAISO SAS,9016017757,ZOILA OLIVA ORTIZ ACUÑA,VDA EL PARAISO A 3 KM DEL CASERIO EL PARAISO,FAVORABLE,GRANOS DE CEREALES O PSEUDOCEREALES ENTEROS O TRITURADOS
27791,1 ACTIVO,CORDOBA,PLANETA RICA,RAMIRO ANTONIO RAMOS TARRA PROPIETARIO DE ESTABLECIMIENTO DE COMERCIO AGUA BLANCA,109509188,RAMIRO ANTONIO RAMOS TARRA,CR 11 No 19 - 40,FAVORABLE,AGUAPOTABLETRATADABEBIDASSABORIZADASABASEDEAGUASINGASLISTAPARACONSUMO
27792,1 ACTIVO,CORDOBA,SAHAGUN,AGUA ANDES,9015564767,CARLOS MARIO DOMINGUEZ BALMACEDA,CL 18 No 5-58 L2 BR CENTENARIO,FAVORABLE,AGUAPOTABLETRATADA
27793,1 ACTIVO,CORDOBA,SAHAGUN,DIDIER ALFONSO POSADA NARVAEZ PROPIETARIO DEL ESTABLECIMIENTO DE COMERCIO LACTEOS ROMANOS,11522176083,DIDIER ALFONSO POSADA NARVAEZ,KM 1 VIA LA CULEBRA,FAVORABLE,QUESOFRESCODOBLECREMATIPOMOZARELLASEMIGRASOSEMIBLANDO
27795,1 ACTIVO,NARIÑO,SAN ANDRES DE TUMACO,ECOMAR FISHING SAS ZOMAC,9013269263,LUIS ALBERTO ROSAS ORTEGA,AV LOS ESTUDIANTES UR MIRAMAR,FAVORABLE,CAMARON FRESCO Y PRECOCIDO CONGELADO
27796,1 ACTIVO,NARIÑO,PASTO,AGROINDUSTRIA VOLCANICA SAS,9015568208,WILLIAN ALEXANDER CUASTUMAL MENESES,CL 9 No 7-91 CORREGIMIENTO DE CATAMBUCO,FAVORABLE CON OBSERVACIONES,CERVEZA ARTESANAL
27798,1 ACTIVO,CHOCO,QUIBDO,DOÑA ANA TIPICO CHOCOANO SAS,9014745755,DIANA MARCELA MOSQUERA MOSQUERA,CL 36 No 37 - 34 BR PARAISO,FAVORABLE,PASTEL CHOCOANO VARIEDADES
